"IDtree","plot","forest_type","sp","heigth","CII","thick","petiol","compound","pubes","LA","SLA","LDMC","dens","pheno","P","C","N","CN","NP","Legum"
"7-7",7,"MIX","Gumac","1.5/2",1,0.140666666666667,8.80333333333333,0,"Yes",22.2882666666667,293.914124633333,276.4485655,0.245227788,"deciduous",0.858931583,495,19.794,25.00757805,23.04490882,"no"
"7-70",7,"MIX","Spmon","2/2.5",1,0.212666666666667,38.4466666666667,1,"No",186.2125,254.5909102,184.030410966667,0.186482452666667,"deciduous",2.425963708,467,24.899,18.75577332,10.26355008,"no"
"7-71",7,"MIX","Maarb","3/3.5",1.5,0.225,52.0466666666667,0,"Yes",98.2473,284.100115733333,197.9565736,0.161995450666667,"evergreen",2.063226228,428,25.677,16.66861393,12.4450725,"no"
"7-73",7,"MIX","Retri","1/1.5",1,0.176333333333333,7.32333333333333,0,"Yes",30.0762666666667,246.338175533333,287.088953033333,0.230281443,"deciduous",0.747501213,504,15.861,31.77605447,21.21869465,"no"
"7-74",7,"MIX","Lucan","1/1.5",1,0.124,2.54666666666667,0,"Yes",69.0181,513.530678066667,260.704265966667,0.169204028,"semideciduous",2.075882348,489,27.232,17.95681551,13.11827716,"no"
"7-76",7,"MIX","Accol","1.5/2",1.5,0.108333333333333,23.71,2,"No",64.958,295.0396419,379.517952,0.326393702333333,"deciduous",1.429817211,509,28.563,17.82025698,19.97667938,"yes"
"7-77",7,"MIX","Retri","1.5/2",NA,0.174666666666667,3.14333333333333,0,"Yes",25.2524,238.3787204,326.714078633333,0.247207597666667,"deciduous",0.737591253,501,14.847,33.74419075,20.1290348,"no"
"7-78",7,"MIX","Ramon","2.5/3",1,0.151666666666667,13.3566666666667,0,"Yes",36.4544,249.2343095,295.013291033333,0.264930533,"deciduous",0.927430563,458,21.696,21.10988201,23.3936651,"no"
"7-8",7,"MIX","Maarb","2/2.5",2.5,0.213,64.7366666666667,0,"Yes",86.7637,270.1599859,194.576768866667,0.174631968666667,"evergreen",1.683198349,428,23.24,18.41652324,13.80704777,"no"
"7-80",7,"MIX","Aledu","2.5/3",1.5,0.231333333333333,5.96666666666667,0,"No",42.2236333333333,87.1490131466667,443.844033733333,0.497746824,"evergreen",0.525277544,539,17.389,30.99660705,33.10440392,"no"
"7-82",7,"MIX","Cacor","1/1.5",1.5,0.168666666666667,2.87666666666667,0,"No",54.1577666666667,191.0310343,281.463481433333,0.311590316,"deciduous",2.102679463,482,22.272,21.64152299,10.59219933,"no"
"7-84",7,"MIX","Ramon","1/1.5",1.5,0.143333333333333,3.42,0,"Yes",29.7766333333333,308.197450466667,263.644923666667,0.230461492666667,"deciduous",1.019776736,462,22.54,20.49689441,22.10287723,"no"
"7-85",7,"MIX","Alocc","1.5/2",2,0.186,68.4233333333333,1,"Yes",110.665833333333,283.8707228,244.939717533333,0.19039939,"deciduous",2.200606777,486,29.706,16.36033125,13.49900414,"no"
"7-86",7,"MIX","Aledu","2/2.5",3,0.216333333333333,5.81,0,"No",69.7301333333333,122.493116533333,357.818531133333,0.378279132333333,"evergreen",0.70271862,532,21.365,24.90053826,30.40334977,"no"
"7-87",7,"MIX","Aledu","2/2.5",3,0.202666666666667,5.86666666666667,0,"No",46.2672333333333,132.565828366667,341.931174366667,0.373196640666667,"evergreen",1.045970903,520,18.094,28.73880844,17.29876036,"no"
"7-88",7,"MIX","Lucan","2.5/3",3,0.207,6.18333333333333,0,"Yes",146.7128,325.291489866667,316.155664533333,0.152135334333333,"semideciduous",2.389905916,504,31.339,16.0821979,13.11306851,"no"
"7-90",7,"MIX","Lucan","3/3.5",2,0.145,4.92333333333333,0,"Yes",99.7717,469.9839532,277.275457566667,0.148242384333333,"semideciduous",2.649109225,501,32.4,15.46296296,12.23052628,"no"
"7-91",7,"MIX","Lucan","1.5/2",1.5,0.127333333333333,4.71666666666667,0,"Yes",62.7004666666667,394.683944466667,367.1124638,0.202514390666667,"semideciduous",1.944280224,506,27.354,18.49820867,14.06895964,"no"
"7-92",7,"MIX","Accol","1.5/2",1.5,0.102333333333333,20.7333333333333,2,"No",90.7001,268.8082305,449.6136269,0.364970109,"deciduous",1.030362104,510,27.882,18.29137078,27.06038964,"yes"
"7-93",7,"MIX","Maarb","1.5/2",3,0.244,48.8733333333333,0,"Yes",78.5649333333333,264.2517825,198.2358622,0.155651839666667,"evergreen",1.36885263,424,27.979,15.15422281,20.43974596,"no"
"7-95",7,"MIX","Gumac","1.5/2",3,0.123333333333333,13.4333333333333,0,"Yes",42.2198333333333,342.488361966667,242.9737219,0.237539029666667,"deciduous",1.070136773,487,24.413,19.94838815,22.81297178,"no"
"7-96",7,"MIX","Semex","1.5/2",2.5,0.224,3.35,0,"Yes",24.8478333333333,144.7368527,300.8673207,0.308703107666667,"deciduous",1.148341211,452,15.101,29.9317926,13.15027263,"no"
"7-97",7,"MIX","Maarb","2/2.5",2,0.281333333333333,53.3,0,"Yes",80.0591333333333,267.720848133333,177.266420433333,0.133563282,"evergreen",2.041965,398,34.815,11.43185409,17.04975355,"no"
