Localidad,Especie,Largo pico,Ala,Cola,Tarso,Juanete,Alto pico,Ancho pico,Peso
3,Chlorospingus pileatus,16.5,73,62.5,25,2.85,6.55,3.85,20.5
3,Chlorospingus pileatus,12.5,71,59,24.1,2.1,6.4,4.1,19.5
3,Chlorospingus pileatus,15,68.5,59,24.5,1.9,6,4.8,19.2
3,Chlorospingus pileatus,16.5,70,62,25,2.4,6.4,4.4,21
3,Chlorospingus pileatus,14.5,70,56,23.35,2.1,6.1,4.55,19.5
4,Catharus gracilirostris,17,76,61,33.5,1.5,4.25,3.5,20
4,Catharus gracilirostris,19,77,57.5,30.2,1.6,4.45,3.4,19.3
4,Catharus gracilirostris,16.5,72.5,64,32.6,1.65,3.8,3.8,22.5
4,Catharus gracilirostris,18.5,74.5,66,31.25,1.55,4.2,3.9,23.5
4,Catharus gracilirostris,17,70.5,57,31.1,1.6,4,3.6,18.5
4,Chlorospingus pileatus,15.5,71,64.5,24.4,2.75,6.2,4.05,20
4,Chlorospingus pileatus,16,68,58,23.05,2.7,6.1,4.15,20
4,Chlorospingus pileatus,15.5,69.5,61.5,24.05,2.7,6.8,4.3,26
4,Chlorospingus pileatus,18.5,73,63.5,24.9,2.8,6.4,4,21
4,Chlorospingus pileatus,14.5,69,62,23.2,2.55,6.05,4,19
4,Chlorospingus pileatus,16,67,64,22.3,2.6,6.1,4.55,17
4,Chlorospingus pileatus,15.6,68,61,23.1,2.5,6.15,4.75,19.5
4,Chlorospingus pileatus,15.5,70.5,61,24.5,2.45,7.1,4.05,20.5
