Especie,Parcela,Sexo,Tipo.recolecta,Conteo,TR
Ptu,1,1,0,234,1
Ptu,1,1,1,11,0
Ptu,1,0,0,356,1
Ptu,1,0,1,35,0
Ptu,2,1,0,31,1
Ptu,2,1,1,12,0
Ptu,2,0,0,6,1
Ptu,2,0,1,8,0
Ptu,3,1,0,979,1
Ptu,3,1,1,12,0
Ptu,3,0,0,900,1
Ptu,3,0,1,18,0
Ptu,4,1,0,65,1
Ptu,4,1,1,7,0
Ptu,4,0,0,63,1
Ptu,4,0,1,8,0
Ptu,5,1,0,7,1
Ptu,5,1,1,17,0
Ptu,5,0,0,5,1
Ptu,5,0,1,10,0
